country,date,description,hazard,importer,incidents,link,name,remedy,retailer,units
"Poland, Bosnia Herzegovina and Romania","January 29, 2014","Recalled IKEA junior beds include the KRITTER and SNIGLAR models with a guard rail on one side. The pine wood KRITTER beds have animal cut-outs, such as a dog and cat on the headboard. A label on the headboard or underside of the KRITTER bed has a date stamp of 1114 to 1322 representing the year and week of production (YYWW), a 600.904.70 model number, and 19740 supplier number. The SNIGLAR natural beech wood beds have a white painted fiberboard insert on the headboard and footboard of the bed. A label on the headboard or underside of the SNIGLAR bed has a date stamp of 1114 to 1318 (YYWW), a 500.871.66 model number, and 18157 supplier number. This recall expands the date stamp for SNIGLAR beds to 1049 to 1318. The beds measure about 65 inches long by 30 inches wide with a 22 to 26 inch high headboard.","The metal rod connecting the guard rail to the bed frame can break in use, posing a laceration hazard.",,IKEA has received one additional report from the UK of a metal rod on a SNIGLAR bed breaking. A child received a small scratch to the arm from the broken metal rod.     ,https://cpsc.gov/Recalls/2014/IKEA-Expands-Recall-of-Junior-Beds-that-Pose-Laceration-Hazard,KRITTER and SNIGLAR Junior Beds,Repair,,"About 3,500 (22,000 units were previously 
recalled
 for repair in August 2013)"
United States,"January 28, 2014",This recall involves System Sensor's reflected beam smoke detectors with model number BEAM1224S and date codes 2111 through 3053. The YMMW format date codes stand for (2111) 2012-November-1,"When used with certain power supplies, the reflected beam smoke detectors can fail to send a signal to the fire alarm control panel that sounds the alarm and fail to alert occupants of a fire.",,None reported,https://cpsc.gov/Recalls/2014/System-Sensor-Recalls-Reflected-Beam-Smoke-Detectors,System Sensor reflected beam smoke detectors,Replace,"Alarm system, security equipment and electrical equipment contractors and dealers for use in commercial building fire alarm systems from November 2012 through May 2013 for about $800. ",About 610
China,"January 28, 2014","The recall involves Blade 500 X BNF and Blade 500 3D BNF and RTF Remote Controlled Model Helicopters with model numbers BLH 1800, BLH 1800M1, BLH 1850, and BLH 4080. The helicopters are about 33.5 inches long and 11.8 inches tall and weigh about 4 lbs.  The canopy of the 500 X has the ""500 X"" logo on each side.  The canopy of the 500 3D has the ""500 3D"" logo on each side.  The tail rotor grip for each model is a black plastic holder that holds the tail rotor blades of the helicopter in place.  The grips are approximately 1 ? inches tall and ? inch wide.  ","The tail rotor grip used for securing the tail rotor blade to the tail rotor hub can separate and release from the helicopter, posing a risk of a crash and injury hazard.",,None,https://cpsc.gov/Recalls/2014/Horizon-Hobby-Recalls-Remote-Controlled-Model-Helicopters,Blade 500 X BNF and Blade 500 3D RTF and BNF Remote Controlled Model Helicopters,Replace,"Hobby stores nationwide and at www.horizonhobby.com.  Models BLH 1800, BLH 1800M1 and BLH 1850 were sold from December 2012 through September 2013; and Models BLH 1850 and BLH 4080 were sold from May 2013 through September 2013. Prices range from $600 to $900.  ",About 1980 in the U.S. and 200 in Canada
China,"January 30, 2014","This recall involves two models of folding bicycles, the Jetty Express 2 and the Port Runner 2, that are designed for use in and around docks and marinas. The Jetty Express 2 has a blue and white frame and folds at a hinge in the middle. Jetty Express 2 is printed on the bike's frame.  The Port Runner 2 has a red frame and folds at a hinge in the middle. Port Runner 2 is printed on the bike's frame. ","The bicycle's frame can break during use, posing a fall hazard to the rider.",,"West Marine has received three reports of the bicycle's frame breaking, resulting in bruises and scrapes to a rider. ",https://cpsc.gov/Recalls/2014/West-Marine-Recalls-Folding-Bicycles,Folding Bicycles,Replace,"West Marine stores nationwide, online at ","About 4,600"
China,"January 22, 2014","This recall involves donut-shaped polyester knit fabric baby rattles with heads and arms to resemble a bear, monkey and a lion. They measure about 7 inches in diameter by 2 inches thick.  Sweet-ums and Midwest-CBK are printed on a hang tag on the rattles.  A label sewn into the rattles has Midwest-CBK, the production date 04/2013 and the batch #:00001281 printed on it. ","The head on the rattle can detach, posing a choking hazard to young children.",,The firm has received one report of the head on a rattle detaching. No injuries have been reported.,https://cpsc.gov/Recalls/2014/Baby-Rattles-Recalled-by-Midwest-CBK,Baby rattles,Refund,Small,"About 1,900"
China,"January 23, 2014","This recall involves the oversized 26-point Morovian Star Pendant chandeliers made of antiqued mirrored glass and metal.  The pendants are 19 inches in diameter with a 6 inch chain.  The star-shaped pendants can be hardwired to a ceiling's outlet and contain a circular, black ceiling connection cover with a chain to the pendant. The pendants come in two styles or SKUs depending on whether they require a compact florescent bulb or non-compact florescent bulb. Both styles look identical.","The joints can fail to support the weight of the pendant causing it to fall, posing the risk of injury.",,Pottery Barn has received three reports of the pendant chandelier's mirrored glass detaching from the metal fixtures and falling. No injuries were reported.,https://cpsc.gov/Recalls/2014/Pottery-Barn-Recalls-Morovian-Star-Pendant-Chandeliers,Oversized Morovian Star Pendant Chandeliers,Refund,,"About 1,100"
China,"January 22, 2014","This recall involves the Playtex pacifier holder clips that attach a pacifier to items like clothing, diaper bags and strollers. It is a plastic clip with a figure and a ""Playtex"" copyright logo that slides up and down to adjust the clip, a ribbon and a clear plastic ring that stretches to fit the pacifier. The pacifier holder was sold in green with a monkey figure, pink with a flower and blue with a tow truck. ",The pacifier holder clips can crack and a small part can break off which poses a choking hazard to small children.,,Playtex has received 99 reports of the holder cracking or breaking. No injuries have been reported.,https://cpsc.gov/Recalls/2014/Playtex-Recalls-Pacifier-Holder-Clips,Playtex pacifier holder clips,Refund,"Walmart, other major retailers, juvenile product, baby and discount stores nationwide and online at Amazon.com, among others, from July 2010 through October 2013 for about $3. ","About 1.25 million in the U.S. and 150,000 in Canada"
China.,"January 22, 2014","The recalled magnetic gate latches are 10"" or 20"" models in black or white. They are marked with the ""Trident"" name and image on the face of the latch body below the key hole. The latch body, which is typically attached to a fence post, contains a knob and a key cylinder on the uppermost portion and a recessed area on the bottom portion designed to engage and retain the striker.  The striker, which contains the magnet, is typically attached to the active gate portion of a fence gate assembly, and moves with the gate as it is opened and closed.  The Trident Latches are frequently used to secure gates for pools.","The magnet contained in the striker portion of the latch assembly can come loose, preventing the latch from securing a gate.",,No injuries were reported.,https://cpsc.gov/Recalls/2014/Nationwide-Industries-Recalls-Trident-Pool-Gate-Latches,,Repair,"The product was sold nationwide from February to October of 2013 to professional fence contractors, dealers and gate manufacturers for between $50 to $60.","About 2,500"
Finland and the U.S.,"January 23, 2014","The recalled black rubber high pressure air hose is used with submersible pressure gauges and dive computers. The hose has silver fittings on both ends and ""5000 PSIG PRESSURE TESTED - MADE IN THE U.S.A,"" the batch code ""1812"" and the product code are printed on it. The hoses were sold separately and as a component of the Cobra, Cobra 3, SM-36 model pressure gauge and gauge combos, and with the Vyper and Zoop model dive computers or analog pressure gauges when purchased as combos. ",The high pressure air hose may leak or rupture leading to a loss of breathing gas posing a drowning hazard.,,No injuries reported.,https://cpsc.gov/Recalls/2014/Suunto-Recalls-Air-Hoses-Used-With-Scuba-Gear,Scuba high-pressure air hoses ,Replace,"Authorized Suunto Dive dealers nationwide from November 2012 to July 2013 for $95 to $195 if sold with Suunto analog pressure gauge for diving, and from $400 to $900 if sold as part of a Suunto dive computer system, and $85 if sold separately.","About 1,300 in the U.S."
Taiwan,"January 23, 2014","This recall involves all Matrix Fitness Ascent Trainers® and Elliptical trainers installed from November 2011 through December 2012. All Ascent Trainers and Ellipticals have a swing-arm handle design, with pedals that rotate in an elliptical path. Units also have stationary handlebars. The Ascent Trainers® are similar to the Elliptical machines, but include an incline function. Users operate the machines in a standing position. The Ellipticals are black and silver-colored. The Ascent Trainers are also black and silver-colored with an orange accent color on the machine's body and foot pedals. ""Matrix"" is printed on the machines body and handlebars. When assembled, the machines are about 70"" high x 29"" wide and 68"" long. The machines involved in this recall have a decal at the center/bottom of the units with model numbers beginning with A3x, A5x, A7x, E3x, E5x or E7x.  ","Moisture from user perspiration or cleaning liquids can build up in the power socket on the unit, causing a short circuit, posing a fire hazard.",,"The company reports 44 incidents of sparking, smoking, charring and/or melting at the power cord and socket. There was one report of the power socket and cord catching fire. No injuries have been reported.",https://cpsc.gov/Recalls/2014/Matrix-Fitness-Ascent-Trainers-and-Ellipticals-Recalled-by-Johnson-Health-Tech,Ascent Trainer® by Matrix and Matrix Fitness Elliptical,Repair,"Johnson Health Tech North America to dealers, commercial fitness facilities such as health clubs and military facilities nationwide, from November 2011 through December 2012, for about $6,000 to $11,000 depending on console installed.  ","About 2,800 in the U.S."
Indonesia,"January 23, 2014","This recall involves Rayovac LED Industrial flashlights (model ILED2AA) with run times of 25 or 50 hours, Rayovac Value Bright LED plastic flashlights (model BRSELED2AA-BA), and Rayovac Value Bright flashlights (model BRSELED2AA-BDGDI). The flashlights use two AA batteries. They measure about 6 ? inches long and the flashlight head is about 1 1/3 inches in diameter. They were sold in the following colors:  solid red, blue, green or black with yellow. Rayovac is printed on the head of the flashlight. The following date codes are included in the recall:  E/J-C, H/F-C, I/F-C, L/F-C, M/W-C, O/F-C, R/F-C, R/J-C,    S/J-C, T/F-C, U/F-C and Y/J-C. The date code is printed on a white sticker inside the flashlight's tube.  ","The flashlight can cause the batteries to overheat and melt the flashlight's plastic casing, posing a burn hazard.",,Spectrum has received reports of 12 flashlights overheating and melting during use. No injuries or property damage have been reported.,https://cpsc.gov/Recalls/2014/Rayovac-Flashlights-Recalled-by-Spectrum-Brands,Rayovac flashlights,Refund,"Electronics, grocery, drug, hardware, home improvement and auto parts stores, farm and ranch product outlets, military surplus outlets and farm cooperatives and other stores nationwide and online at ","About 225,000 in the United States and 7,000 in Canada"
United States,"January 23, 2014","This recall is for Series 503 Flushmate III Pressure Assist flushing systems installed inside toilet tanks that were manufactured from March 2008 through June 2009. The units are rectangular, black, two-piece vessels made of injection molded plastic. ","The system can burst at or near the vessel weld seam releasing stored pressure. This pressure can lift the tank lid and shatter the tank, posing impact and laceration hazards to consumers and property damage.",,"Flushmate has received three reports of the units included in this recall bursting, resulting in property damage and no reports of injury.",https://cpsc.gov/Recalls/2014/Flushmate-Expands-Recall-of-Flushmate-III-Pressure-Assisted-Flushing-System,Flushmate,Repair,"Home Depot and Lowe's stores, toilet manufacturers, distributors and plumbing contractors nationwide from 2008 through about 2009 for about $108 for the units without toilets.","About 351,000 in the U.S. and about 9,400 in Canada (The Series 503 Flushmate III was 
previously recalled
 in June 2012)"
United States,"January 16, 2014","This recall involves four models of Glacier Bay®-branded bathroom medicine cabinets, manufactured between July 15, 2013 and October 10, 2013. They have a mirrored door, two adjustable and two fixed interior shelves. Some models have exterior display side shelves. They were sold in 21, 23 and 30-inch widths and in three finishes: cognac, java and white. ""VOC"" and the manufacture date are stamped on the exterior of the cabinet's back panel. The models below are included in this recall. The model and SKU number appear on the product's box.","The mirror or its back panel can separate and fall out, posing an injury hazard to consumers.",,RSI has received two reports of the cabinet's mirror or back panel detaching and falling out. No injuries have been reported.        ,https://cpsc.gov/Recalls/2014/RSI-Recalls-Bathroom-Medicine-Cabinets,Bathroom medicine cabinets,Refund,,"About 14,000"
United States,"January 14, 2014","This recall involves Model Year 2014 Arctic Cat 500 Sno Pro snowmobiles with model numbers S2014ACCPRUSG and S2014ACCPRPVG. The snowmobiles are green with SNO PRO, TEAM ARCTIC, and 500 printed on the front sides of the snowmobile. The name ARCTIC CAT is printed on the rear sides of the snowmobile. The model number is located in the owner’s manual.  ","Fuel can leak from the fuel tank, posing a fire hazard.",,None reported,https://cpsc.gov/Recalls/2014/Arctic-Cat-Recalls-Snowmobiles,Arctic Cat snowmobiles,Repair,"Arctic Cat dealers nationwide from September 2013 to January 2014 for between $7,800 and $9,000.",About 264
USA,"January 15, 2014","This recall involves two Honda models and one Columbia brand electric start lawnmowers with Honda engines and 21"" cutting blades. The Honda lawnmowers are red and silver (HRR) and red and gray (HRX).  Both have ""Honda"" on the engine cover. The model and serial numbers are located on the certification label that is affixed to the cutter housing deck behind the engine.  Honda recalled lawnmowers are:","The engine stop switch can malfunction allowing the blade to continue to rotate after the handlebar blade control lever is released, which poses a laceration hazard.",,Honda has received 11 reports of the lawnmower's blade continuing to rotate after the handlebar control lever was released.  No injuries were reported.,https://cpsc.gov/Recalls/2014/American-Honda-Recalls-Lawnmowers,"Walk-behind 21"" lawnmowers",Repair,Honda brand lawnmowers were sold at,"About 20,800 Honda brand in U.S. and 48 Columbia brand lawnmowers in U.S. and 3,000 in Canada"
New Zealand,"January 16, 2014","This recall involves 6-inch barndoors with four and eight leaves. The recalled barndoors are used on Rama Fresnel and Rama PC stage lights. The barndoors are made of hinged, rectangular, black metal flaps/leaves attached to a moveable, round, plastic collar. The collar is six inches in diameter. Four-leaf barndoors are part number 20BDSF12 and eight-leaf barndoors are part number 20BDSF128.  The part numbers are only on the invoice for the product.","The heat of the stage lights can make the barndoors detach from the light and fall, posing an impact injury hazard to individuals below it.",,Philips Selecon has received three reports of barndoors used outside the United States detaching. No injuries were reported. No incidents or injuries have been reported in the U.S.,https://cpsc.gov/Recalls/2014/Philips-Selecon-Recalls-Four-and-Eight-Leaf-Barndoors-for-Rama-Luminaire-Stage-Lights,Stage Light Barndoors ,Repair,"Theatrical, electrical and lighting supply dealers nationwide from January 2003 to January 2013","About 5,500"
China,"January 15, 2014","This recall involves Kenmore oscillating fan heaters with model number 127.90914310. The model number and Kenmore are printed on a silver sticker on the bottom of the unit.  The fan heaters are gray and white, measure about 12 inches tall by 9 inches wide, have two dials at the top for temperature and fan speed and a red on-off button on the front base. Kenmore is printed on the front bottom of the fan heaters.","Broken motor mounts can cause the units to overheat, catch fire and ignite nearby items, posing a fire and burn hazard to consumers.",,"Sears and Kmart have received seven reports of the fan heaters smoking or catching fire, including two reports of injuries. Injuries include one report of smoke inhalation and one report of a blister to a consumer's finger.",https://cpsc.gov/Recalls/2014/Sears-and-Kmart-Recall-Kenmore-Oscillating-Fan-Heaters,Kenmore oscillating fan heaters,Refund,Sears and Kmart stores nationwide from September 2013 through November 2013 for between,"About 42,500"
Philippines,"January 15, 2014","The infant home kit consists of a white jersey and navy blue shorts and socks in sizes 0, 6 months, 12 months and 18 months.  The jersey has style #1238534 printed on a side seam label. The jerseys are white with navy blue trim and navy blue UA and Tottenham Hotspur logos.  The navy blue shorts have white trim and white UA and Tottenham Hotspur logos.  The socks are navy blue.","The shoulder snaps on the jersey can detach, posing laceration and choking hazards.",,There were no injuries reported.,https://cpsc.gov/Recalls/2014/Under-Armour-Recalls-Infant-Sports-Jersey-Kits,Tottenham Hotspur Infant Home Kits,Refund,Pegasus Sporting Goods and Upper 90 Soccer + Sport between August and December 2013 for about $50.,About 62
Taiwan,"January 14, 2014","The recalled bicycle brake models include SB Red Hydraulic Road Disc, SB Red Hydraulic Road Rim, SB 700 Hydraulic Road Disc and SB 700 Hydraulic Road Rim, used as   either front or rear brakes. The SB RED brake lever is labeled ""RED"" on the body of the lever assembly.  The SB 700 brake lever is labeled ""S-Series"" on the body of the lever assembly.  The serial numbers for the recalled brakes have the digit ""3"" as the fourth digit of the serial number.  The serial number can be found on the bottom of the caliper body. The brakes were sold as aftermarket products and as original equipment on the following bicycle brands and models: ","The brake systems can fail, posing a crash and injury hazard.",,The firm received 95 reports of brakes failing in the U.S.,https://cpsc.gov/Recalls/2014/SRAM-Recalls-Hydraulic-Bicycle-Brakes,SRAM Hydraulic Road Rim Brakes and Hydraulic Road Disc Brakes for bicycles,Replace,"Specialty bicycle retailers nationwide from May 2013 to December 2013 for between $285 and $581 for the disc or rim brakes. Bicycles sold with the SRAM disc or rim range from $2,500 to $7,500. ","About 25,350"
China,"January 16, 2014","The recall involves G-series Fire Alarm Control Panels that are professionally installed and have model numbers that end in GV4 and use D192G Notification Appliance Circuit (NAC) modules. The NAC module monitors the circuit connections and signals when alarms are not operational. The Bosch name, logo and model number D9412GV4, D7412GV4 or D7212GV4 are on the board of recalled GV4 fire alarm control panels. The control panels and modules are used in residences and commercial facilities and can be mounted inside a variety of enclosures with a minimum size of 16 inches x 16 inches x 3.5 inches, which may or may not be labeled with the Bosch name or logo.",The notification appliance circuit module can cause the panels to fail to activate an audible or visual alarm in the event of a fire.,,None reported.,https://cpsc.gov/Recalls/2014/Bosch-Security-Systems-Recalls-Fire-Control-Panels,Bosch GV4,Repair,,"About 2,000"
United States,"January 9, 2014","This recall involves New Yorker Boiler PVCGA model cast iron hot water boilers that use natural gas or liquid petroleum to heat water for residential space heating. The boilers are green in color, about 38 inches tall and about 26 inches deep and range from 11 to 30 inches wide. The front cover of the boiler is vented and has the New Yorker Boiler logo. Recalled boilers were manufactured between May 2012 and February 2013. The model number, serial number and manufacturing date are located on a silver label on the inside panel. The manufacturing date appears in the upper right corner of the silver label in the MM/YYYY format. The following model numbers and serial number ranges are included in this recall:","The air pressure switch can fail to shut down the burners when there is a blockage in the vent system, allowing the boiler to emit excessive amounts of carbon monoxide and posing a CO poisoning hazard to the consumer.",,None reported,https://cpsc.gov/Recalls/2014/New-Yorker-Boiler-Recalls-Home-Heating-Boilers,Gas-fired hot water boilers,Repair,"Plumbing and heating wholesale distributors nationwide from July 2012 through Feb. 2013 for between $1,600 and $3,200.",About 191
United States,"January 9, 2014","This recall involves U.S. Boiler ESC, PVG and SCG model cast iron hot water boilers that use natural gas or liquid petroleum to heat water for residential space heating. The boilers are light blue in color with black trim, about 40 inches tall, about 26 inches deep and range from 12 to 31 inches wide. The model name and U.S. Boiler logo are on the front cover of the boiler. The front cover of the boiler is vented. Recalled boilers were manufactured between December 2005 and February 2013. The model number, serial number and manufacturing date are located on a silver label on the top panel of ESC models and on the inside of PVG and SCG models on the right side panel. The manufacturing date appears in the upper right corner of the silver label in the MM/YYYY format.  The following model numbers and serial number ranges are included in this recall:","The air pressure switch can fail to shut down the burners when there is a blockage in the vent system, allowing the boiler to emit excessive amounts of carbon monoxide and posing a CO poisoning hazard to the consumer.",,None reported,https://cpsc.gov/Recalls/2014/US-Boiler-Recalls-Home-Heating-Boilers,,Repair,"Plumbing and heating wholesale distributors nationwide from December 2005 through February 2013 for between $1,700 and $4,900.","About 26,000 in the United States and about 310 in Canada"
China and Taiwan,"January 2, 2014","This recall involves the Mainstays card table sets with a black padded metal folding table and four black padded metal folding chairs. ""Made by: Dongguan Shin Din Metal & Plastic Products Co,"" or ""Made by: Taiwan Shin Yeh Enterprises"", is printed on a white label on the bottom of the chairs.","The chairs can collapse unexpectedly, posing a fall hazard and a risk of finger injury, including finger amputation.",,"Walmart has received 10 reports of injuries from collapsing chairs. Injury reports include one finger amputation, three fingertip amputations, sprained or fractured fingers and one report of a sore back.",https://cpsc.gov/Recalls/2014/Walmart-Recalls-Card-Table-and-Chair-Sets,Mainstays five-piece card table and chair sets,Refund,,"About 73,400"
China,"December 30, 2013","This recall involves all Joovy's Zoom gray metal car seat stroller adapters. The adapters are gray with black plastic clips designed to attach infant car seats to stroller frames. The adapter frame's dimensions are approximately 17"" x 13"" x 10"".  Recalled car seat adapter models include 00945 for Graco, 00946 for Chicco and 00947 for Peg Perego frames. ""Joovy"" and the model numbers can be found on the label at the center of the end bar of the adapter.","Adapter clips can loosen on the stroller frame, posing a fall hazard.",,The firm has received nine reports of incidents involving loose adapters on stroller frames. There are no injuries reported.,https://cpsc.gov/Recalls/2014/Joovy-Recalls-Zoom-Car-Seat-Stroller-Adapter,Zoom Car Seat Adapter,Repair,Independent specialty juvenile retailers and online at Joovy.com between May 2012 and August 2013 for about $25.,"About 1,500"
China,"December 30, 2013",This recall involves the standard size H2 Hydra Series Binding. The binding mounts on the twintip style kiteboards and is used to connect the rider by his feet to the board. The H2 binding is blue and black and has dual adjusting straps with 'Cabrinha' and 'H2' on the footstrap. The product was manufactured in June and July 2013. The H2 binding comes in two sizes: standard and small. The product code is KB4H2BDSL which is found on the retail packaging.,"The binding can detach from its base while riding and lead to loss of control, which poses a risk of injury.",,No injuries reported.,https://cpsc.gov/Recalls/2014/Cabrinha-Kiteboarding-Recalls-H2-Binding,Cabrinha H2 Hydra Series Binding,Replace,Specialty watersports stores worldwide from August 2013 through December 2013 for about $180.,57 in the U.S. and 5 in Canada
China,"January 2, 2014","This recall involves Norwood Furniture's science tables. The rectangular tables have a black laminate finish tabletop with a light brown hardwood base and four legs. There are black floor grips at the bottom of each wooden leg. The table has two rectangular, front open compartments.",The wooden legs can split causing instability which poses an injury hazard to those using the table,,"There have been eight reports of instability of the tables, three of which are reports of the legs splitting. No reported injuries.",https://cpsc.gov/Recalls/2014/Norwood-Furniture-Recalls-Science-Tables,Norwood Furniture Science Tables,Repair,,655
Taiwan,"December 30, 2013","The recalled products are 2012 model year Source Eleven and Source Expert Disc bicycles with Supernova Switchable Dynamo Front Hubs as part of the original equipment. The name ""Specialized"" is printed on the bicycle's down tube and ""Source Eleven"" or ""Source Expert"" are printed on the top tube. The front hubs have ""www.supernova-lights.com"" and one of the following model numbers printed on them: 1207, 1208, 1226, 1227, 1228, 1241, 1254, 1263, 1284 and 1344. ","The set screws in the front hub of the recalled bicycles can loosen and stop the front wheel from turning, posing a fall hazard to consumers.",,No incidents or injuries were reported.,https://cpsc.gov/Recalls/2014/Specialized-Recalls-Source-Eleven-and-Source-Expert-Disc-Bicycles,2012,Replace,"Authorized Specialized Bicycle dealers in the United States from October 2011 to September 2013 from about $2,000 to 2,700.",About 173
United States,"January 9, 2014","The Decline model free weight benches are designed for use in professional gyms and come in three model numbers: 16060, 16061 and 16062. The Decline model free weight bench is a traditional Olympic bench which accommodates a 7’ wide Olympic bar, and the back pad declines from the knee to the shoulders at a 15 degree angle.  The model numbers can be found on the bottom of the tube near where the feet are placed with serial numbers C1208 through H0913 which stand for the manufacture dates, December 2008 through September 2013.","The frame of the bench can collapse forward onto the user, posing fall and injury hazards.",,The firm received nine reports of frames fatiguing near the weld point.  No injuries were reported.,https://cpsc.gov/Recalls/2014/Cybex-International-Recalls-Decline-Free-Weight-Benches,Olympic Decline free weight bench,Repair,"Sold by Cybex or its distributors directly to gyms from December 2008 through September 2013 for about $1,100.",234
China,"December 20, 2013",The recalled decorative pine berry candle ring goes around the base of a candle and is made of synthetic green foliage with synthetic red berries and pinecones. The ring measures about 9 to 10 inches in diameter and has an opening of about 4 to 4 1/2 inches.   Candle rings with UPC number 8 86860 02558 8 or 8 86860 06357 3 on a tag attached to the underside of the ring are included in the recall.,"The candle rings' synthetic foliage and berries are flammable, posing a fire hazard.",,None reported. ,https://cpsc.gov/Recalls/2014/Candle-Ring-Recalled-by-Yankee-Candle,Candle Ring - Pine Berry,Refund,"Hallmark and Yankee Candle retail stores nationwide, Yankee Candle catalogs and online at Yankeecandle.com from September 2013 through October 2013 for between $8 and $10.  ","About 15,000 in U.S. and 2,000 in Canada"
China,"December 17, 2013","This recall involves chargers that were sold with the HP Chromebook 11. The charger is black with outlet pins, measures 1? inches by ? inches, and has a 6-foot long cord with a micro-USB connector on the end. The model number of the charger is MU15-N1052-A00S, which is stamped on the face of the battery charger that has the outlet pins.","The computer's charger can overheat and melt, posing fire and burn hazards.",,Google has received nine reports of chargers overheating and melting during use. There is one report of a small burn to a consumer and one report of minor property damage to a pillow from an overheating charger.,https://cpsc.gov/Recalls/2014/Google-and-HP-Recall-HP-Chromebook-11-Chargers,HP Chromebook 11 power supply/charger,Replace,"Best Buy stores nationwide and online at Amazon.com, bestbuy.com, Google Play at play.google.com, and HP Shopping at shopping.hp.com from October 2013 through November 2013 and included with the Chromebook 11 which sold for about $280.","About 145,000 units"
China,"December 19, 2013","The Playtex Hip Hammock is an infant carrier designed to strap the baby against the caregiver's body at the hip.  It is made of a soft, quilted fabric and intended for babies that are from 15 to 35 pounds.  The child seat is attached with straps that wrap around the carrier's hips and shoulder. ""Playtex Hip Hammock"" is printed on a label sewn into the front of the carrier.  All model numbers are being recalled.  Model numbers 05300, 05301, 05302, 05306, 05307 and 05308 are sewn into the inside panel below the instructions for use. They come in basic and deluxe styles. The hip hammock's fabric is suede or ultra-suede in black or navy colors on the outside, and the inside lining is black, black and white check or burgundy.","The buckles on the waist and shoulder straps can crack or break, posing a fall hazard to the child.",,"Playtex has received 87 reports of the buckles cracking or breaking, including two reports of injuries, where one infant required emergency room treatment.",https://cpsc.gov/Recalls/2014/Playtex-Recalls-Hip-Hammock-Infant-Carriers,Playtex Hip Hammock infant carriers,Refund,"Burlington Coat Factory, Target, Walmart, juvenile product, baby and discount stores nationwide and online at Amazon.com from June 2004 through December 2008 and January 2010 in Canada for about $40 for the basic model and $60 for the deluxe model.  ","About 305,000 and 36,000 in Canada"
Bangladesh,"December 19, 2013","This recall includes hooded Buckmark junior sweatshirts in sizes S, M, L and XL. The sweatshirts are made of polyester fabric. The camouflaged print pullover sweatshirt comes with black drawstrings and has a yellow embroidered Buckmark logo  located on the front of the garment. There are pockets located near the waist. The sweatshirt has a hood, and rib knit cuffs and waist.  ","The hooded sweatshirts have drawstrings around the neck area that pose a strangulation or an entanglement hazard to young children. In February 1996, CPSC ",,None reported,https://cpsc.gov/Recalls/2014/Browning-Recalls-Junior-Hoodie,Browning Youth Buckmark Junior Hoodie Sweatshirts ,Refund,,"About 4,300"
United States,"December 18, 2013","This recall involves Bristol Valley, model 8555SR, cocktail glasses with sheer rims. The glasses are made of clear, colorless glass in a 7.75 ounce cocktail design with a thin rim. The glasses measure about 6? inches high, 3? inches wide at the base, and 4? inches wide at the top. They were sold individually and in 24-piece cartons for commercial users.","The glasses can break unexpectedly, posing a laceration hazard.",,"Libbey has received 16 reports from commercial customers of glasses breaking, including one report of a minor laceration to a restaurant patron when the glass broke during use. ",https://cpsc.gov/Recalls/2014/Libbey-Glass-Recalls-Cocktail-Glasses,Bristol Valley Cocktail Glasses with Sheer Rim,Refund,,"About 218,000"
United States,"December 19, 2013","This recall involves 45 styles of Red Wing men's steel toe work boots in sizes 11 to 18 and widths ranging from B to H depending on the size and style. The boots have 6, 8, 10 or 11 inch ankle height and were sold in brown, black and maroon-colored leather.  The following style numbers are included in the recall: 2206, 2211, 2223, 2226, 2230, 2238, 2249, 2254, 2270, 2404, 2405, 2406, 2408, 2412, 2414, 2426, 2491, 3505, 3507, 3508, 3526, 3528, 3568, 4208, 4210, 4273, 4406, 4414, 4425, 4433, 4435, 4436, 4437, 4438, 4445, 4481, 4483, 4484, 4494, 22406, 22408, 52406, 52408, 82406 and 82408. Date codes between 12/12 and 11/13 are included in the recall. The style number, date code and Red Wing Shoes are printed on a label inside the boot's tongue. For the complete list, see the firm's website.",The steel toe cap in the boots could fail to protect the wearer's feet in an impact.,,None reported,https://cpsc.gov/Recalls/2014/Red-Wing-Shoes-Recalls-Steel-Toe-Work-Boots,Steel toe work boots,Replace,Red Wing stores and other shoe stores from December 2012 through November 2013 for between $185 and $340.,"About 105,000 pairs in the United States and 9,000 in Canada"
China,"December 19, 2013",This recall involves Edoche's ,"The utensil's handle can detach, posing a choking hazard to infants.",,Edoche has received one report of the utensil's handle detaching and a baby putting it in his/her mouth. No injuries have been reported. ,https://cpsc.gov/Recalls/2014/Cubetensils-Childrens-Eating-Utensils-Recalled-by-Edoche,Children's spoon and fork sets,Refund,Major retailers and specialty stores nationwide and online at Amazon.com and ebay.com from May 2012 through November 2013 for about $8 a set.,"About 1,100 sets"
"Landscape Structures Inc., of Delano, Minn.","December 23, 2013","This recall involves Landscape Structures' Oodle Swings. The swing frame is a double arch, comes in a variety of colors and measures 9 ? ft. high by 13 ? ft. long by 4 ? ft. wide. The swing seat is an oval-shaped ring, measures 4 ft. wide by about 3 ? ft. deep, comes in a variety of colors and is suspended from the frame by four black cables or chains. The swing seat holds as many as six children. Landscape Structures is printed on label near ground level on the frame. The swing set's model number 173592 is printed in the swing's instruction manual. ""Landscape Structures"" is molded in the black rubber bumper of the swing seat.","The swing seat is suspended too close to the ground, posing an injury hazard to children who can get their legs caught underneath the swing seat.",,Nine children have broken their legs or suffered sprains when their legs got caught under the swing. ,https://cpsc.gov/Recalls/2014/Landscape-Structures-Recalls-Oodle-Swings,Oodle Swings,Repair,"To schools and other facilities with playground equipment nationwide from February 2011 through November 2013 for about $4,350.",About 177
